Step = 1

Force time:               1.910 sec
Mobility time:            0.072 sec
Integration time:         0.447 sec
Cross-slip time:          0.000 sec
Collision time:           0.012 sec
Topology time:            0.009 sec
Remesh time:              0.000 sec
Output time:              0.210 sec

Total time:               2.586 sec

--------------------------------------------------
Step = 2

Force time:               3.615 sec
Mobility time:            0.129 sec
Integration time:         0.728 sec
Cross-slip time:          0.000 sec
Collision time:           0.024 sec
Topology time:            0.016 sec
Remesh time:              0.000 sec
Output time:              0.406 sec

Total time:               4.688 sec

--------------------------------------------------
Step = 3

Force time:               5.567 sec
Mobility time:            0.249 sec
Integration time:         1.317 sec
Cross-slip time:          0.000 sec
Collision time:           0.035 sec
Topology time:            0.023 sec
Remesh time:              0.000 sec
Output time:              0.601 sec

Total time:               7.143 sec

--------------------------------------------------
Step = 4

Force time:               7.581 sec
Mobility time:            0.365 sec
Integration time:         1.969 sec
Cross-slip time:          0.000 sec
Collision time:           0.046 sec
Topology time:            0.030 sec
Remesh time:              0.000 sec
Output time:              0.797 sec

Total time:               9.666 sec

--------------------------------------------------
Step = 5

Force time:              10.105 sec
Mobility time:            0.466 sec
Integration time:         3.038 sec
Cross-slip time:          0.000 sec
Collision time:           0.057 sec
Topology time:            0.037 sec
Remesh time:              0.000 sec
Output time:              0.993 sec

Total time:              12.677 sec

--------------------------------------------------
Step = 6

Force time:              12.452 sec
Mobility time:            0.583 sec
Integration time:         3.978 sec
Cross-slip time:          0.000 sec
Collision time:           0.068 sec
Topology time:            0.044 sec
Remesh time:              0.000 sec
Output time:              1.189 sec

Total time:              15.542 sec

--------------------------------------------------
Step = 7

Force time:              14.636 sec
Mobility time:            0.788 sec
Integration time:         4.847 sec
Cross-slip time:          0.001 sec
Collision time:           0.079 sec
Topology time:            0.051 sec
Remesh time:              0.000 sec
Output time:              1.387 sec

Total time:              18.341 sec

--------------------------------------------------
Step = 8

Force time:              17.419 sec
Mobility time:            0.953 sec
Integration time:         6.249 sec
Cross-slip time:          0.001 sec
Collision time:           0.091 sec
Topology time:            0.058 sec
Remesh time:              0.000 sec
Output time:              1.583 sec

Total time:              21.731 sec

--------------------------------------------------
Step = 9

Force time:              20.467 sec
Mobility time:            1.130 sec
Integration time:         7.708 sec
Cross-slip time:          0.001 sec
Collision time:           0.102 sec
Topology time:            0.065 sec
