Step = 10

Force time:              42.938 sec
Mobility time:            5.783 sec
Integration time:        42.082 sec
Cross-slip time:          0.001 sec
Collision time:           0.120 sec
Topology time:            0.067 sec
Remesh time:              0.000 sec
Output time:              0.198 sec

Total time:              51.009 sec

--------------------------------------------------
Step = 20

Force time:              80.866 sec
Mobility time:            9.578 sec
Integration time:        78.195 sec
Cross-slip time:          0.001 sec
Collision time:           0.237 sec
Topology time:            0.130 sec
Remesh time:              0.001 sec
Output time:              0.388 sec

Total time:              94.623 sec

--------------------------------------------------
Step = 30

Force time:             111.832 sec
Mobility time:           13.852 sec
Integration time:       107.067 sec
Cross-slip time:          0.002 sec
Collision time:           0.353 sec
Topology time:            0.193 sec
Remesh time:              0.001 sec
Output time:              0.578 sec

Total time:             131.847 sec

--------------------------------------------------
Step = 40

Force time:             146.666 sec
Mobility time:           18.228 sec
Integration time:       140.826 sec
Cross-slip time:          0.003 sec
Collision time:           0.469 sec
Topology time:            0.257 sec
Remesh time:              0.002 sec
Output time:              0.770 sec

Total time:             172.881 sec

--------------------------------------------------
Step = 50

Force time:             189.636 sec
Mobility time:           24.059 sec
Integration time:       183.108 sec
Cross-slip time:          0.003 sec
Collision time:           0.586 sec
Topology time:            0.320 sec
Remesh time:              0.002 sec
Output time:              0.960 sec

Total time:             223.715 sec

--------------------------------------------------
Step = 60

Force time:             227.999 sec
Mobility time:           29.011 sec
Integration time:       221.542 sec
Cross-slip time:          0.004 sec
Collision time:           0.702 sec
Topology time:            0.384 sec
Remesh time:              0.002 sec
Output time:              1.152 sec

Total time:             268.958 sec

--------------------------------------------------
Step = 70

Force time:             261.896 sec
Mobility time:           33.376 sec
Integration time:       254.554 sec
Cross-slip time:          0.005 sec
Collision time:           0.817 sec
Topology time:            0.447 sec
Remesh time:              0.003 sec
Output time:              1.342 sec

Total time:             309.091 sec

--------------------------------------------------
Step = 80

Force time:             300.493 sec
Mobility time:           38.586 sec
Integration time:       292.337 sec
Cross-slip time:          0.005 sec
Collision time:           0.934 sec
Topology time:            0.510 sec
Remesh time:              0.003 sec
Output time:              1.532 sec

Total time:             354.794 sec

--------------------------------------------------
Step = 90

Force time:             338.681 sec
Mobility time:           43.123 sec
Integration time:       329.594 sec
Cross-slip time:          0.006 sec
Collision time:           1.049 sec
Topology time:            0.573 sec
Remesh time:              0.004 sec
Output time:              1.723 sec

Total time:             399.311 sec

--------------------------------------------------
Step = 100

Force time:             374.819 sec
Mobility time:           47.583 sec
Integration time:       364.388 sec
Cross-slip time:          0.006 sec
Collision time:           1.166 sec
Topology time:            0.637 sec
Remesh time:              0.004 sec
Output time:              1.914 sec

Total time:             441.695 sec

--------------------------------------------------
Step = 110

Force time:             414.429 sec
Mobility time:           53.169 sec
Integration time:       404.011 sec
Cross-slip time:          0.007 sec
Collision time:           1.281 sec
Topology time:            0.700 sec
Remesh time:              0.004 sec
Output time:              2.106 sec

Total time:             488.856 sec

--------------------------------------------------
Step = 120

Force time:             446.963 sec
Mobility time:           57.339 sec
Integration time:       434.369 sec
Cross-slip time:          0.008 sec
Collision time:           1.396 sec
Topology time:            0.764 sec
Remesh time:              0.005 sec
Output time:              2.296 sec

Total time:             527.378 sec

--------------------------------------------------
Step = 130

Force time:             486.879 sec
Mobility time:           62.714 sec
Integration time:       475.171 sec
Cross-slip time:          0.008 sec
Collision time:           1.512 sec
Topology time:            0.828 sec
Remesh time:              0.005 sec
Output time:              2.488 sec

Total time:             574.810 sec

--------------------------------------------------
Step = 140

Force time:             519.844 sec
Mobility time:           66.522 sec
Integration time:       506.832 sec
Cross-slip time:          0.009 sec
Collision time:           1.627 sec
Topology time:            0.891 sec
Remesh time:              0.005 sec
Output time:              2.678 sec

Total time:             613.355 sec

--------------------------------------------------
Step = 150

Force time:             556.900 sec
Mobility time:           71.780 sec
Integration time:       542.607 sec
Cross-slip time:          0.010 sec
Collision time:           1.742 sec
Topology time:            0.954 sec
Remesh time:              0.006 sec
Output time:              2.868 sec

Total time:             657.497 sec

--------------------------------------------------
Step = 160

Force time:             592.198 sec
Mobility time:           75.597 sec
Integration time:       575.343 sec
Cross-slip time:          0.010 sec
Collision time:           1.857 sec
Topology time:            1.016 sec
Remesh time:              0.006 sec
Output time:              3.060 sec

Total time:             698.419 sec

--------------------------------------------------
Step = 170

Force time:             635.002 sec
Mobility time:           81.823 sec
Integration time:       618.047 sec
Cross-slip time:          0.011 sec
Collision time:           1.972 sec
Topology time:            1.080 sec
Remesh time:              0.007 sec
Output time:              3.252 sec

Total time:             749.261 sec

--------------------------------------------------
Step = 180

Force time:             669.440 sec
Mobility time:           85.968 sec
Integration time:       650.761 sec
Cross-slip time:          0.012 sec
Collision time:           2.088 sec
Topology time:            1.143 sec
Remesh time:              0.007 sec
Output time:              3.443 sec

Total time:             789.592 sec

--------------------------------------------------
Step = 190

Force time:             706.795 sec
Mobility time:           91.706 sec
Integration time:       687.983 sec
Cross-slip time:          0.012 sec
Collision time:           2.203 sec
Topology time:            1.206 sec
Remesh time:              0.007 sec
Output time:              3.634 sec

Total time:             834.498 sec

--------------------------------------------------
Step = 200

Force time:             743.374 sec
Mobility time:           96.081 sec
Integration time:       723.097 sec
Cross-slip time:          0.013 sec
Collision time:           2.319 sec
Topology time:            1.270 sec
Remesh time:              0.008 sec
Output time:              3.826 sec

Total time:             877.277 sec

--------------------------------------------------
Step = 210

Force time:             778.502 sec
Mobility time:          101.213 sec
Integration time:       756.657 sec
Cross-slip time:          0.013 sec
Collision time:           2.434 sec
Topology time:            1.333 sec
Remesh time:              0.008 sec
Output time:              4.016 sec

Total time:             919.376 sec

--------------------------------------------------
Step = 220

Force time:             817.295 sec
Mobility time:          106.380 sec
Integration time:       794.081 sec
Cross-slip time:          0.014 sec
Collision time:           2.550 sec
Topology time:            1.395 sec
Remesh time:              0.008 sec
Output time:              4.208 sec

Total time:             965.231 sec

--------------------------------------------------
Step = 230

Force time:             853.599 sec
Mobility time:          111.051 sec
Integration time:       828.340 sec
Cross-slip time:          0.015 sec
Collision time:           2.666 sec
Topology time:            1.458 sec
Remesh time:              0.009 sec
Output time:              4.399 sec

Total time:            1008.009 sec

--------------------------------------------------
Step = 240

Force time:             888.883 sec
Mobility time:          115.069 sec
Integration time:       860.240 sec
Cross-slip time:          0.015 sec
